type,start,end,_end,title,description,category,project,keyword
Cinema,1925-11-23,,,"Sergei Eisenstein, Maksim Štrauch and Aleksandr Lëvšin return to Moscow for studio recordings and the montage of the Battleship Potemkin.","Sergei Eisenstein, Maksim Štrauch and Aleksandr Lëvšin return to Moscow for studio recordings and the montage of Battleship Potemkin; on the same day Sergei Eisenstein goes through 4500 meters of footage by himself. Eisenstein expands the principle of Montage of Attractions by ""dissecting elements of the bourgeois art he rejects - i.e. all elements aimed at illusion and consumption of art - and then assembling them in a objective manner and with a new purpose"". With these means of influence of the ""bourgeoisie, which is forced into subbotnic work,"" he accommodates the viewing habits of the Soviet public and thus uses passivating elements of bourgeois art for agitation-""another tactical maneuver in the attack on the spectator, which is ridden under the slogan of Red October.",Cinema and Theatre,Battleship Potemkin,montage of attractions;Battleship Potemkin;Štrauch;A. Lëvšin
Cinema,1925-12-24,1926-01-00,,First public screening of Battleship Potemkin in the Bolshoi Theatre.,First public screening of Battleship Potemkin in the Bolshoi Theatre on the occasion of the celebration of the 20th anniversary of the 1905 Revolution.,Cinema and Theatre,Battleship Potemkin,Battleship Potemkin;1905 Revolution
Cinema,1925-12-25,,,The commission for the celebration of the 20th anniversary of the first Russian Revolution accepts the Battleship Potemkin.,The commission for the celebration of the 20th anniversary of the first Russian Revolution accepts the Battleship Potemkin.,Cinema and Theatre,Battleship Potemkin,Battleship Potemkin;1905 Revolution
Cinema,1926-01-00,,,Plans a film about the Chinese revolutionary movement under the title Dshungo with Sergei Tretijakov .,Sergei Eisenstein and Sergei Tretijakov plan a film about the Chinese revolutionary movement under the title Dshungo. They apply for a film expedition to China.,Cinema and Theatre,Dshungo,Dshungo;Chinese revolutionary movement
Cinema,1926-01-18,,,Public premiere of the Battleship Potemkin at the Art Cinema on Moscows Arbat Square.,"Public premiere of the Battleship Potemkin at the Art Cinema on Moscows Arbat Square. The film is released by the First Goskino Studio. At the premiere the crew, all actors, the cinema orchestra and ushers appear in the uniform of the Potemkin sailors.",Cinema and Theatre,Battleship Potemkin,Battleship Potemkin;Art Film Theater;First Goskino Studio
Cinema,1926-01-21,,,First closed screening of Battleship Potemkin in Germany at the Großes Schauspielhaus in Berlin under the title Das Jahr 1905.,First closed screening of Battleship Potemkin in Germany at the Großes Schauspielhaus in Berlin under the title Das Jahr 1905.,Cinema and Theatre,Battleship Potemkin,Battleship Potemkin;Großes Schauspielhaus;The Year 1905
Biography,1926-03-18,,,Travels to Berlin with Eduard Tissé.,Sergei Eisenstein travels to Berlin with Eduard Tissé. They stay at the Hotel Hessler.,Biography and Personality,Metropolis,Eduard Tissé;Emil Jannings;Faust;Friedrich Wilhelm Murnau;Albertini;Harry Liedke;Manfred Noa;Fritz Lang;Günther Rittau;Karl Freund;Metropolis
Cinema,1926-03-18,,,Visits Berlin film studios and meets with personalities of the german film industry.,"In Tempelhof Sergei Eisenstein makes the acquaintance of Emil Jannings during the shooting of Friedrich Wilhelm Murnaus Faust; probably theres also an encounter with Murnau himself. While visiting the studios in Staaken he watches among others Luciano Albertini, Harry Liedtke and Manfred Noa during shooting. During the production of Metropolis he discusses the advantages and disadvantages of the unchained camera technique (""Entfesselte Kamera"") with Fritz Lang, Günther Rittau and Karl Freund. Thea von Harbou later presents to him the script development of Metropolis.",Cinema and Theatre,,
Cinema,1926-03-18,,,Discusses the musical score for Battleship Potemkin with Edmund Meisel.,"Sergei Eisenstein and Edmund Meisel discuss the music for Potemkin, which Maria F. Andreeva, Maksim Gorkijs wife, had commissioned. ""I formulated my demands to Meisel for a music as rhythm, rhythm and above all pure rhythm. But not in the sense of rhythmic identities of sound and representation. This was a demand for a musical rhythm as a field of expression. This was most completely realized by Meisel in the fifth part.""",Cinema and Theatre,,
Cinema,1926-03-17,,,A closed special screening of Battleship Potempkin is arranged at the Ministry of the Reichswehr in reaction to its planned german release.,"Alarmed by the intention of the Berlin film distributor Prometheus to release Battleship Potemkin in german cinemas, a closed special screening of the film is arranged at the Ministry of the Reichswehr in the presence of Admiral Hans Zenker, Head of the Naval Command, and Colonel General Hans von Seeckt, Head of the Army Command.",Cinema and Theatre,Battleship Potemkin,Battleship Potemkin;Admiral Zenker;Colonel General Seekt
Cinema,1926-03-24,,,First censorship hearing on the Battleship Potemkin before the 2nd chamber of the Film Review Office Berlin.,"First censorship hearing on Battleship Potemkin before the 2nd chamber of the Film Review Office Berlin. The film is banned because it is ""suitable for permanently endangering public order and security"". ",Cinema and Theatre,Battleship Potemkin,Battleship Potemkin;Filmprüfstelle Berlin
Cinema,1926-03-26,,,Meets Alfred Kerr.,"Sergei Eisenstein meets Alfred Kerr, on whose intercession Eisenstein attributes the later licensing of Battleship Potemkin by the Film Review Office.",Cinema and Theatre,,
Cinema,1926-04-10,1926-04-26,,Battleship Potemkin is licensed by the Film Review Office against the protest of the german military.,"Revision hearing in front of the Supervisory Headquarters of the Film Review Office Berlin in the presence of Alfred Kerr and Erwin Piscator as experts. The film is licensed with cuts in 14 instances - that was 30.15 meters of film. Battleship Potemkin is forbidden for young people. The Head of the Army Command, Colonel General Hans von Seeckt, asks interior minister Dr. Wilhelm Külz, ""to prevent the performance by all possible means [...]"", since the licensing of ""this agitational and disintegrative film would mean an extraordinarily heavy and unnecessary burden on military discipline such as public peace and order"".",Cinema and Theatre,Battleship Potemkin,Main Filmtestcentre Berlin;General Oberst Seekt;Dr. Külz;Battleship Potemkin
Cinema,1926-04-15,,,The Army Command prohibits the soldiers of the Reichswehr from visiting the cinemas showing Battleship Potemkin.,The Army Command prohibits the soldiers of the Reichswehr from visiting the cinemas showing Battleship Potemkin.,Cinema and Theatre,Battleship Potemkin,Battleship Potemkin
Biography,1926-04-18,,1926-04-26,Returns to Moscow with Eduard Tissé.,Sergei Eisenstein and Eduard Tissé return to Moscow.,Biography and Personality,,Eduard Tissé;Battleship Potemkin
Cinema,1926-04-29,,,German and prussian officials authorize the German premiere of Battleship Potemkin in the Apollo Theatre.,"Prussian Prime Minister Otto Braun, Berlin Police Commissioner Albert Grzesinski, prussian Minister of Culture Carl Becker, Chief Reich Prosecutor Ludwig Ebermeyer and ""some gentlemen from the Reich Chancellery with their entourage"" visit the Apollo Theater in the afternoon and authorize the German premiere of Battleship Potemkin in the evening.",Cinema and Theatre,,
Cinema,1926-05-05,,,"While the german left-wing is enthusiastic about Battleship Potemkin, right-wing and military groups try to get it cancelled even with violent measures.","The reactions to the german release of Battleship Potemkin are polarized between positive and enthusiastic responses in left-wing outlets and the right-wing press being appalled and disgusted. In order to give the police a reason to prohibit the screenings because they endanger public peace, right-wing provocateurs disrupt the screenings for the first time on May 5th. In addition, a German Sailors Club threatens attacks with hand grenades if the film is not cancelled.",Cinema and Theatre,,
Cinema,1926-06-12,,,German officials bring forward a motion to the Berlin Film Review Board  to revoce the license of Battleship Potemkin for the entire territory of Germany.,"Already shortly after the german premiere of Battleship Potemkin, foreign minister Gustav Stresemann and the Reich Cabinet had agreed that ""all possible means must be taken to prevent further screenings of the film"". Then on June 12, the interior minister of Württemberg, Eugen Bolz, brings forward a motion to the Berlin Film Review Office to revoce the license of Battleship Potemkin for the entire territory of Germany.",Cinema and Theatre,,
Cinema,1926-06-26,1926-10-02,,"A ""Committee to prevent the ban of Potemkin"" with prominent supporters is formed in Berlin.","A Committee to prevent the ban of Potemkin is formed in Berlin, whose protests are joined by Albert Einstein, Georg Bernhard, Ludwig von Gerlach, Veit Valentin, Captain Lothar Persius, Stefan Großmann, Leopold Jessner, Paul Lobe, Georg Kaiser, Alfred Kerr, Klabund, Max Liebermann, Erwin Piscator, Ernst Toller and Heinrich Zille, among others.",Cinema and Theatre,,
Cinema,1926-07-12,,,Battleship Potemkin is banned by the Film Review Office.,"Against the protest of the prominent Committee to prevent the ban of Potemkin and the left-wing civil press, Battleship Potemkin is banned on 12 July.",Cinema and Theatre,,
Cinema,1926-07-28,1926-08-00,1926-10-02,"Battleship Potemkin is licensed by the Film Review Office again, but in a controversial recut version.","Prometheus reworks the film and resubmits it to the Film Review Office at the end of July. In this very controversial version it is released again. A further hearing before the Film Review Office in October confirms this decision with the restriction that the visit is forbidden for adolescents. Despite temporary bans in Württemberg and Bavaria, Battleship Potemkin has thus prevailed in the censorship. ",Cinema and Theatre,,
Biography,1926-05-10,,,Lectures about his stay in Germany in the ARK.,Sergei Eisenstein lectures about his stay in Germany in the ARK (Association of Revolutionary Filmmakers).,Biography and Personality;Cinema and Theatre,,Association of Revolutionary Filmmakers
Cinema,1926-06-03,,1926-08-00,"Starts working on The General Line, a film about the socialist transformation of the village.","Near Moscow, Sergei Eisenstein is working on a film about the socialist transformation of the village according to the decisions of the XIV Party Congress. According to the initial conception, the film is supposed to ""tie the bond between town and village more closely - one of the future tasks of the Bolshevism"". Before the first recordings for the film project The General Line Sergei Eisenstein studies archives of the Commissariat of Agriculture, complaints from farmers and attends meetings of the Peasant Council according to the method suggested by Nina Agadžanova-Šutko. In July there are only eight days of shooting due to poor shooting conditions.",Cinema and Theatre,General Line,Agadžanova-Šutko;Commissariat of Agriculture;Peasant Council;General Line
Biography,1926-06-07,1926-06-30,,In Berliner Tageblatt an autobiographical article by Sergei Eisenstein written especially for the German readership is published.,"Berliner Tageblatt, whose feature editor is Alfred Kerr, publishes the article Sergej Eisenstein über Sergej Eisenstein, den Potemkin-Regisseur [S. Eisenstein about S. Eisenstein], which Sergei Eisenstein has written especially for the German readership: ""As for my view on cinema in general, I must confess that I understand it as bias and only bias. In my opinion, without a clear presentation of the ""why"" one cannot begin work on a film.""",Biography and Personality;Writing and Teaching;Cinema and Theatre,,
Writings,1926-06-22,,,Writes the article Bela forgets the scissors.,"Sergei Eisenstein writes the article Bela forgets the scissors, a replica of Béla Balászs lecture Filmtradition und Filmzukunft [On the Future of the Film] held at the German Cinematographers Club. Against Balászs view of the ""figurative quality of the shot as the decisive factor"", Sergei Eisenstein emphasizes: ""The shot merely interprets the object in a setting to use it in juxtaposition to other sequences.""",Writing and Teaching,,Bela forgets the scissors;Béla Balász;Film tradition and film future
