type,idx,date,,year,info,hover,category,project,keyword,first,number,number1
Cinema,286,1928-04-02,,1928,World premiere of 10 days that shook the world (October) at the Tauentzienpalast in Berlin.,World premiere of 10 days that shook the world (October) at the Tauentzienpalast in Berlin. The 70-man film orchestra is conducted by Edmund Meisel.,Cinema and Theatre,October,October;10 days that shook the world;Edmund Meisel,,1,20
Biography,287,1928-04-04,,1928,Notes in his diary that instead of eternal themes above all basic methods should be found. ,"Eisenstein notes in his diary that instead of eternal themes, above all basic methods should be found. The principal aim of the capital filming is: ""To teach the worker dialectical thinking.""",Biography and Personality;Writing and Teaching,,,,20,20
Biography,288,1928-05-12,,1928,"Becomes a teacher at GTK, where he teaches directing - with short interruptions - until his death.","Eisenstein becomes a teacher at GTK, where he teaches directing - with short interruptions - until his death. ",Biography and Personality;Writing and Teaching,,GTK,,20,20
Cinema,289,1928-06-20,,1928,Begins rewriting the screenplay of the General Line and new filming in the Caucasus.,Eisenstein begins rewriting the screenplay of The General Line and new filming in the Caucasus. ,Cinema and Theatre,General Line,General Line,,1,20
Writings,290,1928-07-19,,1928,"Eisenstein, Aleksandrov and Pudovkin write the manifesto on sound film","Eisenstein, Aleksandrov and Pudovkin write the manifesto on sound film; they call for the contrapuntal use of sound and its sharp separation from visual forms; only in this way can a new, orchestral counterpoint of visual and acoustic forms be created.",Writing and Teaching,Audiovisual Counterpoint,Grigori Aleksandrov;Pudovkin,,,20
Cinema,291,1928-08-00,,1928,"After finishing the outdoor recordings for the General Line, Eisenstein drives back to Moscow and starts the studio recordings there.","After finishing the outdoor recordings for The General Line, Eisenstein drives back to Moscow and starts the studio recordings there.",Cinema and Theatre,General Line,General Line,,1,20
Cinema,292,1928-08-02,,1928,"Joseph M. Schenk, president of United Artists, is in Moscow and is probably negotiating with Eisenstein about an engagement to Hollywood","Joseph M. Schenk, president of United Artists, is in Moscow and is probably negotiating with Eisenstein about an engagement to Hollywood",Cinema and Theatre,,Joseph M. Schenk;Hollywood,,1,20
Cinema,293,1928-08-10,,1928,Sees the Kabuki theatre in Moscow. ,"Eisenstein sees the Kabuki Theatre in Moscow. This provides inspiration in his Writings and Teaching on the audiovisual counterpoint of the means of expression in theatre and film, and theoretical questions of overtone montage.",Cinema and Theatre;Writing and Teaching,Audiovisual Counterpoint,Kabuki theatre,,1,20
Biography,294,1928-09-14,,1928,Meeting with Stefan Zweig in Moscow.,"Meeting with Stefan Zweig in Moscow about Sigmund Freud and the separation of his students (Jung, Adler, Stöckel) from their teacher, in which he sees a parallel to his separation from Meyerhold. ",Biography and Personality,,Stefan Zweig;Sigmund Freud;Meyerhold,,20,20
Cinema,295,1928-10-02,,1928,"The studio recordings for the General Line are interrupted, because Marfa Lapkina has to recover from the birth of her child.","The studio recordings for The General Line are interrupted, because Marfa Lapkina has to recover from the birth of her child.",Cinema and Theatre,General Line,General Line;Marfa Lapkina ,,1,20
Biography,296,1928-10-23,,1928,Opening of the research and teaching section at GTK under the direction of Eisenstein.,Opening of the research and teaching section at GTK under the direction of Eisenstein.,Biography and Personality;Writing and Teaching,,GTK,,20,20
Cinema,297,1928-11-00,,1928,Shoots final scenes for the General Line in Baku.,"Shoots final scenes for The General Line in Baku, the center of heavy industry, and continues to work on the montage",Cinema and Theatre;Writing and Teaching,General Line,General Line,,1,20
Writings,298,1928-11-06,,1928,Publication of the article Twelfth written together with Aleksandrov,Publication of the article Twelfth written together with Aleksandrov,Writing and Teaching,,Grigori Aleksandrov;The twelfth year of Soviet construction;Twelfth,,,20
Biography,299,1928-12-00,,1928,First encounter with the German expressive dancer Valeska Gert.,First encounter with the German expressive dancer Valeska Gert.,Biography and Personality,,Valeska Gert,,20,20
Writings,300,1929-01-12,,1929,"Together with Aleksandrov, Eisenstein writes the article An Experiment understood by Millions","Together with Aleksandrov, Eisenstein writes the article An Experiment understood by Millions",Writing and Teaching,,Grigori Aleksandrov;An experiment understandable to millions,1,,20
Writings,301,1929-02-00,,1929,Writes the essay Outside the Frame.,"Writes the essay Outside the Frame. He analyses Japanese sign language and Japanese art from the perspective of contrapuntal montage as a ""means of laconically coining an abstract term"" and draws conclusions for the elaboration of an intellectual film language.",Writing and Teaching,,Intellectual film;Outside the Frame;Montage,,,20
Cinema,302,1929-02-14,,1929,The General Line is accepted at the extended meeting of Sovkino.,The General Line is accepted at the extended meeting of Sovkino.,Cinema and Theatre,General Line,General Line;Sovkino,,1,20
Cinema,303,1929-00-00,,1929,Josef Stalin demands changes to the final scenes of The General Line from Eisenstein and Aleksandrov.,"In spring, after the montage of The General Line is finished, the General Secretary of the Party Josef Stalin demands changes to the final scenes of the film from Eisenstein and Aleksandrov.",Cinema and Theatre,General Line,Montage;Grigori Aleksandrov;Stalin;General Line,,1,20
Cinema,304,1929-02-25,,1929,"Pudovkin, Dovženko and Eisenstein celebrate the premiere of Dovženkos film Arsenal","Pudovkin, Dovženko and Eisenstein celebrate the premiere of Dovženkos film Arsenal about the suppression of the January 1918 uprising in Kiev at the Sovkino House",Cinema and Theatre,,Dovženko;Arsenal;January 1918;Sovkino House,,1,20
Writings,305,1929-03-04,,1929,"Writes the programmatic essay Perspectives, in which he outlines the line of the future intellectual film","Eisenstein writes the programmatic essay Perspectives, in which he outlines the line of the future intellectual film",Writing and Teaching,,Perspectives;Intellectual film,,,20
Writings,306,1929-03-00,,1929,Works on the essay Dramaturgy of Film-Form for the Stuttgart Film and Photo Exhibition.,Eisenstein works on the essay The Dramaturgy Of Film Form (The Dialetical Approach To Film Form) for the Stuttgart Film and Photo Exhibition.,Writing and Teaching,,Dramaturgy of Film-Form;Stuttgart Film and Photo Exhibition,,,20
Cinema,307,1929-04-00,,1929,Shoots complementary scenes to the General Line In the Sovkhoz Gigant in Rostov-on-Don and in the North Caucasus. ,"In the Sovkhoz Gigant in Rostov-on-Don and in the North Caucasus Eisenstein shoots complementary scenes to the General Line. Leon Moussinac writes on 4 June: ""Completely unexpectedly, I had to shoot something like a gripping near-epilogue [...] I have just made a remarkable journey through the North Caucasus and the Ukraine. I saw with my own eyes what is meant by building socialism. There is nothing more moving or heroic! [...] My obsession is to set ""the old and the new"" to music.I have to do it abroad. Im still not sure if everything will work out the way I want it to. Thats why this must remain between us [...] After the European premiere I would like to go to the USA. Hollywood doesnt interest me in the USA at all, I want to see the country! And the sound film technology. Because Im absolutely sure that the whole future of cinema lies in sound.""",Cinema and Theatre,General Line,General Line;Leon Moussinac;Sovkhoz;Rostov-on-Don,,1,20
Biography,308,1929-05-01,,1929,With Isaak Babel Eisenstein sees the military parade in Rostov-on-Don.,"With Isaak Babel Eisenstein sees the military parade in Rostov-on-Don. Babel introduces Eisenstein to the commanders of the cavalry army; Eisenstein makes the acquaintance of Kovtjuch, the hero Kožuch from the Iron Stream.",Biography and Personality,,Isaak Babel;Rostov-on-Don;Kovtjuch;Kožuch;Iron Stream,,20,20
Writings,309,1929-07-00,,1929,Writes The fourth dimension of film.,Eisenstein writes The fourth dimension of film and draws conclusions from his lectures at the GTK in his essay How Pathos was made.,Writing and Teaching,,The fourth dimension of film;GTK;How Pathos was made,,,20
Biography,310,1929-08-19,,1929,"Eisenstein, Tissé and Aleksandrov leave Moscow with a copy of the The General Line.","Eisenstein, Tissé and Aleksandrov, each equipped with $25 travel money, leave Moscow; in their luggage is a copy of the The General Line. ",Biography and Personality;Cinema and Theatre,General Line,Eduard Tissé;Grigori Aleksandrov;General Line,,20,20
Biography,311,1929-08-20,,1929,"Arrival of Eisenstein, Tissé and Aleksandrov in Warsaw. ","Arrival of Eisenstein, Tissé and Aleksandrov in Warsaw. ",Biography and Personality,,Travels;Eduard Tissé;Grigori Aleksandrov,,20,20
Biography,312,1929-08-21,,1929,Arrives in Berlin for the dubbing and premier of the General Line,"Arrival in Berlin. Eisenstein wants to stay in Berlin for the dubbing and premiere of the General Line. ""Yes, General Line"" will be set to music.“ I take the standpoint that it cant be a dubbing; the sound, like the film, must be an independent part of the whole. In Berlin, Eisenstein lives in Martin Luther Strasse, Pension Maria Louise. In the same pension lives L. Obolenskij, actor, director (Kulešov school) and sound engineer.",Biography and Personality;Cinema and Theatre,General Line,Travels;General Line;Martin Luther Strasse;Pension Maria Louise;L. Obolenskij;Kulešov school,,20,20
